"parasite_species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","host_species","host_genus","host_class","host_in_cycle_exposed","to_int_def","dpi","dose","sample_size","tot_given","tot_recovered","recovery_rate","log_ws","log_hm","study"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",15,100,10,1000,109,0.109,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",30,100,10,1000,158,0.158,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",37,100,14,1400,267,0.190714285714286,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",44,100,10,1000,152,0.152,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",51,100,10,1000,198,0.198,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",58,100,10,1000,219,0.219,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",65,100,10,1000,188,0.188,-9.15894408289277,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",2,100,5,500,40,0.08,-9.15894408289277,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",6,100,5,500,50,0.1,-9.15894408289277,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",11,100,5,500,45,0.09,-9.15894408289277,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","Gastropoda","1","Intermediate",120,100,5,500,105,0.21,-9.15894408289277,2.30258509299405,"Giannelli et al. 2014 . Parasitology 141 : 563-569"
"Angiostrongylus cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Rattus norvegicus","Rattus","Mammalia","2","Definitive",1,500,1,500,10,0.02,-8.329929699458,5.86575554083103,"Bhaibulaya 1975 . Int. J. Parasitol. 5 : 7-20"
"Angiostrongylus cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Rattus norvegicus","Rattus","Mammalia","2","Definitive",2,500,1,500,68,0.136,-8.329929699458,5.86575554083103,"Bhaibulaya 1975 . Int. J. Parasitol. 5 : 7-20"
"Angiostrongylus cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Rattus norvegicus","Rattus","Mammalia","2","Definitive",3,500,1,500,174,0.348,-8.329929699458,5.86575554083103,"Bhaibulaya 1975 . Int. J. Parasitol. 5 : 7-20"
"Angiostrongylus cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Rattus norvegicus","Rattus","Mammalia","2","Definitive",4,500,1,500,127,0.254,-8.329929699458,5.86575554083103,"Bhaibulaya 1975 . Int. J. Parasitol. 5 : 7-20"
