"parasite_species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","host_species","host_genus","host_in_cycle_exposed","to_int_def","exposure_type","likely_undercount","dpi","dose","sample_size","tot_given","tot_recovered","recovery_rate","worm_length","worm_width","worm_volume","imputed_worm_volume","log_ws","host_bm","log_hm","study"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,11,0.11,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,10,0.1,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,9,0.09,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,29,0.29,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,20,0.2,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,6,0.06,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,11,0.11,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,1,0.01,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,8,0.08,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",15,100,1,100,4,0.04,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,38,0.38,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,23,0.23,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,35,0.35,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,15,0.15,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,23,0.23,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,2,0.02,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,7,0.07,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,5,0.05,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,9,0.09,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","Helix aspersa","Helix","1","Intermediate","Individual","no",30,100,1,100,1,0.01,0.3847,0.018666667,0.000105274,0.000105274,-9.15894408289277,10,2.30258509299405,"Cesare et al. 2013 . Parasitol. Res. 112 : 3101-3108"
