"parasite_family","Parasite.group","n_spp_ot","n_spp_lcdb","n_spp_rr","n_pubs_lcdb","query","pubmed_hits"
"Aberrapecidae","cestode",5,0,0,NA,"Aberrapecidae[ALL] AND cestod*[ALL]",1
"Acoleidae","cestode",5,0,0,NA,"Acoleidae[ALL] AND cestod*[ALL]",5
"Acrobothriidae","cestode",6,3,1,16,"Acrobothriidae[ALL] AND cestod*[ALL]",1
"Acuariidae","nematode",302,19,6,72,"Acuariidae[ALL] AND nematod*[ALL]",53
"Adelobothriidae","cestode",3,0,0,NA,"Adelobothriidae[ALL] AND cestod*[ALL]",0
"Allantonematidae","nematode",154,0,0,NA,"Allantonematidae[ALL] AND nematod*[ALL]",27
"Amabiliidae","cestode",24,4,0,10,"Amabiliidae[ALL] AND cestod*[ALL]",10
"Amidostomatidae","nematode",18,4,0,11,"Amidostomatidae[ALL] AND nematod*[ALL]",11
"Amphilinidae","cestode",9,2,0,4,"Amphilinidae[ALL] AND cestod*[ALL]",1
"Ancylostomatidae","nematode",2,2,1,5,"Ancylostomatidae[ALL] AND nematod*[ALL]",54
"Angiostrongylidae","nematode",26,13,4,58,"Angiostrongylidae[ALL] AND nematod*[ALL]",38
"Anguillicolidae","nematode",5,4,1,18,"Anguillicolidae[ALL] AND nematod*[ALL]",10
"Anguinidae","nematode",157,0,0,NA,"Anguinidae[ALL] AND nematod*[ALL]",17
"Anisakidae","nematode",241,22,3,111,"Anisakidae[ALL] AND nematod*[ALL]",355
"Anoplocephalidae","cestode",357,30,2,102,"Anoplocephalidae[ALL] AND cestod*[ALL]",149
"Anteroporidae","cestode",12,0,0,NA,"Anteroporidae[ALL] AND cestod*[ALL]",1
"Anthocephaliidae","cestode",30,0,0,NA,"Anthocephaliidae[ALL] AND cestod*[ALL]",4
"Aphelenchoididae","nematode",408,0,0,NA,"Aphelenchoididae[ALL] AND nematod*[ALL]",51
"Aporhynchidae","cestode",7,1,0,2,"Aporhynchidae[ALL] AND cestod*[ALL]",3
"Apororhynchidae","acanthocephalan",7,0,0,NA,"Apororhynchidae[ALL] AND acanthocephala*[ALL]",1
"Arhythmacanthidae","acanthocephalan",45,0,0,NA,"Arhythmacanthidae[ALL] AND acanthocephala*[ALL]",22
"Ascarididae","nematode",8,14,4,56,"Ascarididae[ALL] AND nematod*[ALL]",63
"Ascaridiidae","nematode",38,5,5,21,"Ascaridiidae[ALL] AND nematod*[ALL]",11
"Balanotaeniidae","cestode",2,0,0,NA,"Balanotaeniidae[ALL] AND cestod*[ALL]",1
"Bothriocephalidae","cestode",183,10,1,51,"Bothriocephalidae[ALL] AND cestod*[ALL]",18
"Camallanidae","nematode",352,24,3,56,"Camallanidae[ALL] AND nematod*[ALL]",91
"Capillariidae","nematode",373,19,1,54,"Capillariidae[ALL] AND nematod*[ALL]",81
"Capingentidae","cestode",19,0,0,NA,"Capingentidae[ALL] AND cestod*[ALL]",6
"Caryophyllaeidae","cestode",91,14,1,41,"Caryophyllaeidae[ALL] AND cestod*[ALL]",23
"Caryophyllidae","cestode",5,0,0,NA,"Caryophyllidae[ALL] AND cestod*[ALL]",87
"Catenotaeniidae","cestode",33,1,0,7,"Catenotaeniidae[ALL] AND cestod*[ALL]",8
"Cathetocephalidae","cestode",6,0,0,NA,"Cathetocephalidae[ALL] AND cestod*[ALL]",0
"Cavisomidae","acanthocephalan",21,1,0,2,"Cavisomidae[ALL] AND acanthocephala*[ALL]",15
"Centrorhynchidae","acanthocephalan",32,3,1,11,"Centrorhynchidae[ALL] AND acanthocephala*[ALL]",22
"Cephalobidae","nematode",294,0,0,NA,"Cephalobidae[ALL] AND nematod*[ALL]",29
"Cephalochlamydidae","cestode",4,1,0,3,"Cephalochlamydidae[ALL] AND cestod*[ALL]",2
"Chabertiidae","nematode",90,2,1,11,"Chabertiidae[ALL] AND nematod*[ALL]",16
"Chimaerocestidae","cestode",2,0,0,NA,"Chimaerocestidae[ALL] AND cestod*[ALL]",0
"Cloacinidae","nematode",284,9,4,26,"Cloacinidae[ALL] AND nematod*[ALL]",3
"Cooperiidae","nematode",36,8,1,24,"Cooperiidae[ALL] AND nematod*[ALL]",3
"Cosmocercidae","nematode",187,2,0,4,"Cosmocercidae[ALL] AND nematod*[ALL]",53
"Crenosomatidae","nematode",30,6,2,16,"Crenosomatidae[ALL] AND nematod*[ALL]",13
