"Parasite.genus","Parasite.group","n_spp_ot","n_spp_lcdb","n_spp_rr","n_pubs_lcdb","query","pubmed_hits"
"Abathymermis","nematode",6,0,0,NA,"Abathymermis[ALL] AND nematod*[ALL]",0
"Abbreviata","nematode",43,4,0,12,"Abbreviata[ALL] AND nematod*[ALL]",35
"Aberrapex","cestode",5,0,0,NA,"Aberrapex[ALL] AND cestod*[ALL]",4
"Abothrium","cestode",2,0,0,NA,"Abothrium[ALL] AND cestod*[ALL]",2
"Abuladzugnia","cestode",1,0,0,NA,"Abuladzugnia[ALL] AND cestod*[ALL]",1
"Acanthobothrium","cestode",218,2,0,5,"Acanthobothrium[ALL] AND cestod*[ALL]",51
"Acanthobothroides","cestode",2,0,0,NA,"Acanthobothroides[ALL] AND cestod*[ALL]",2
"Acanthocephaloides","acanthocephalan",11,0,0,NA,"Acanthocephaloides[ALL] AND acanthocephala*[ALL]",12
"Acanthocephalus","acanthocephalan",56,10,0,42,"Acanthocephalus[ALL] AND acanthocephala*[ALL]",154
"Acanthocheilus","nematode",3,0,0,NA,"Acanthocheilus[ALL] AND nematod*[ALL]",0
"Acanthocirrus","cestode",3,1,0,3,"Acanthocirrus[ALL] AND cestod*[ALL]",0
"Acanthogyrus","acanthocephalan",43,1,0,2,"Acanthogyrus[ALL] AND acanthocephala*[ALL]",10
"Acanthosentis","acanthocephalan",6,1,0,2,"Acanthosentis[ALL] AND acanthocephala*[ALL]",20
"Acanthotaenia","cestode",11,0,0,NA,"Acanthotaenia[ALL] AND cestod*[ALL]",5
"Acanthoxyurus","nematode",7,0,0,NA,"Acanthoxyurus[ALL] AND nematod*[ALL]",0
"Acoleus","cestode",3,0,0,NA,"Acoleus[ALL] AND cestod*[ALL]",1
"Acontylus","nematode",1,0,0,NA,"Acontylus[ALL] AND nematod*[ALL]",0
"Acrobeles","nematode",41,0,0,NA,"Acrobeles[ALL] AND nematod*[ALL]",15
"Acrobelinema","nematode",1,0,0,NA,"Acrobelinema[ALL] AND nematod*[ALL]",0
"Acrobeloides","nematode",35,0,0,NA,"Acrobeloides[ALL] AND nematod*[ALL]",50
"Acrobelophis","nematode",4,0,0,NA,"Acrobelophis[ALL] AND nematod*[ALL]",0
"Acrolobus","nematode",1,0,0,NA,"Acrolobus[ALL] AND nematod*[ALL]",0
"Acromoldavicus","nematode",3,0,0,NA,"Acromoldavicus[ALL] AND nematod*[ALL]",0
"Acroukrainicus","nematode",1,0,0,NA,"Acroukrainicus[ALL] AND nematod*[ALL]",0
"Acuaria","nematode",55,5,0,20,"Acuaria[ALL] AND nematod*[ALL]",22
"Acugutturus","nematode",1,0,0,NA,"Acugutturus[ALL] AND nematod*[ALL]",0
"Adelobothrium","cestode",3,0,0,NA,"Adelobothrium[ALL] AND cestod*[ALL]",0
"Adelonema","nematode",1,0,0,NA,"Adelonema[ALL] AND nematod*[ALL]",0
"Adenobrechmos","cestode",1,0,0,NA,"Adenobrechmos[ALL] AND cestod*[ALL]",1
"Adenocephalus","cestode",1,0,0,NA,"Adenocephalus[ALL] AND cestod*[ALL]",9
"Adenoscolex","cestode",1,0,0,NA,"Adenoscolex[ALL] AND cestod*[ALL]",3
"Aelurostrongylus","nematode",4,3,1,18,"Aelurostrongylus[ALL] AND nematod*[ALL]",119
"Aelurotaenia","cestode",2,0,0,NA,"Aelurotaenia[ALL] AND cestod*[ALL]",0
"Afenestrata","nematode",5,0,0,NA,"Afenestrata[ALL] AND nematod*[ALL]",6
"Africanoxys","nematode",3,0,0,NA,"Africanoxys[ALL] AND nematod*[ALL]",0
"Afrobaeria","cestode",1,0,0,NA,"Afrobaeria[ALL] AND cestod*[ALL]",0
"Afrophilometra","nematode",1,0,0,NA,"Afrophilometra[ALL] AND nematod*[ALL]",3
"Agamascaris","nematode",2,0,0,NA,"Agamascaris[ALL] AND nematod*[ALL]",0
"Agamermis","nematode",7,0,0,NA,"Agamermis[ALL] AND nematod*[ALL]",6
"Agamomermis","nematode",10,0,0,NA,"Agamomermis[ALL] AND nematod*[ALL]",5
"Ageneiella","cestode",1,0,0,NA,"Ageneiella[ALL] AND cestod*[ALL]",0
"Ahamulina","cestode",2,0,0,NA,"Ahamulina[ALL] AND cestod*[ALL]",0
"Ailinella","cestode",1,0,0,NA,"Ailinella[ALL] AND cestod*[ALL]",1
"Alaeuris","nematode",38,0,0,NA,"Alaeuris[ALL] AND nematod*[ALL]",6
"Alainchabaudia","nematode",1,0,0,NA,"Alainchabaudia[ALL] AND nematod*[ALL]",0
"Alcataenia","cestode",11,0,0,NA,"Alcataenia[ALL] AND cestod*[ALL]",10
"Alexandercestus","cestode",2,0,0,NA,"Alexandercestus[ALL] AND cestod*[ALL]",2
"Alinema","nematode",1,0,0,NA,"Alinema[ALL] AND nematod*[ALL]",3
"Allantonema","nematode",11,0,0,NA,"Allantonema[ALL] AND nematod*[ALL]",1
"Allodapa","nematode",1,1,0,11,"Allodapa[ALL] AND nematod*[ALL]",7
"Allohymenolepis","cestode",2,0,0,NA,"Allohymenolepis[ALL] AND cestod*[ALL]",1
"Allomermis","nematode",5,0,0,NA,"Allomermis[ALL] AND nematod*[ALL]",2
"Allorhadinorhynchus","acanthocephalan",1,0,0,NA,"Allorhadinorhynchus[ALL] AND acanthocephala*[ALL]",2
"Alocostoma","nematode",2,0,0,NA,"Alocostoma[ALL] AND nematod*[ALL]",0
"Amabilia","cestode",1,0,0,NA,"Amabilia[ALL] AND cestod*[ALL]",0
"Amapacanthus","acanthocephalan",1,0,0,NA,"Amapacanthus[ALL] AND acanthocephala*[ALL]",2
"Amazotaenia","cestode",1,0,0,NA,"Amazotaenia[ALL] AND cestod*[ALL]",0
"Amblyonema","nematode",1,0,0,NA,"Amblyonema[ALL] AND nematod*[ALL]",0
"Amidostomoides","nematode",9,0,0,NA,"Amidostomoides[ALL] AND nematod*[ALL]",5
"Amidostomum","nematode",8,3,0,9,"Amidostomum[ALL] AND nematod*[ALL]",32
"Amirthalingamia","cestode",1,1,0,3,"Amirthalingamia[ALL] AND cestod*[ALL]",6
"Amoebotaenia","cestode",13,1,0,5,"Amoebotaenia[ALL] AND cestod*[ALL]",13
"Amphibiogoezia","nematode",1,0,0,NA,"Amphibiogoezia[ALL] AND nematod*[ALL]",0
"Amphibiomermis","nematode",6,0,0,NA,"Amphibiomermis[ALL] AND nematod*[ALL]",0
"Amphicotyle","cestode",1,0,0,NA,"Amphicotyle[ALL] AND cestod*[ALL]",3
"Amphidomermis","nematode",1,0,0,NA,"Amphidomermis[ALL] AND nematod*[ALL]",0
"Amphigonophorus","cestode",1,0,0,NA,"Amphigonophorus[ALL] AND cestod*[ALL]",0
"Amphigonoporus","cestode",1,0,0,NA,"Amphigonoporus[ALL] AND cestod*[ALL]",0
"Amphilina","cestode",3,1,0,2,"Amphilina[ALL] AND cestod*[ALL]",12
"Amphimermis","nematode",24,0,0,NA,"Amphimermis[ALL] AND nematod*[ALL]",2
"Amphimonhystrella","nematode",4,0,0,NA,"Amphimonhystrella[ALL] AND nematod*[ALL]",0
"Amphoteromorphus","cestode",6,0,0,NA,"Amphoteromorphus[ALL] AND cestod*[ALL]",0
"Amplicaecum","nematode",0,1,0,4,"Amplicaecum[ALL] AND nematod*[ALL]",7
"Amurotaenia","cestode",3,0,0,NA,"Amurotaenia[ALL] AND cestod*[ALL]",1
"Anafilaroides","nematode",1,0,0,NA,"Anafilaroides[ALL] AND nematod*[ALL]",4
"Anandranema","nematode",1,0,0,NA,"Anandranema[ALL] AND nematod*[ALL]",1
"Anantrum","cestode",3,0,0,NA,"Anantrum[ALL] AND cestod*[ALL]",2
"Anchistrocephalus","cestode",4,0,0,NA,"Anchistrocephalus[ALL] AND cestod*[ALL]",0
"Ancipirhynchus","cestode",1,0,0,NA,"Ancipirhynchus[ALL] AND cestod*[ALL]",1
"Ancyracanthopsis","nematode",8,1,0,1,"Ancyracanthopsis[ALL] AND nematod*[ALL]",2
"Ancyracanthus","nematode",3,0,0,NA,"Ancyracanthus[ALL] AND nematod*[ALL]",1
"Andersonstrongylus","nematode",2,1,0,2,"Andersonstrongylus[ALL] AND nematod*[ALL]",0
"Andocadoncum","cestode",1,0,0,NA,"Andocadoncum[ALL] AND cestod*[ALL]",2
"Andracantha","acanthocephalan",9,0,0,NA,"Andracantha[ALL] AND acanthocephala*[ALL]",17
"Andrya","cestode",7,0,0,NA,"Andrya[ALL] AND cestod*[ALL]",17
"Andycestus","cestode",1,0,0,NA,"Andycestus[ALL] AND cestod*[ALL]",1
"Angiostrongylus","nematode",19,9,3,40,"Angiostrongylus[ALL] AND nematod*[ALL]",796
"Anguillicola","nematode",5,4,1,18,"Anguillicola[ALL] AND nematod*[ALL]",109
"Anguilluloides","nematode",3,0,0,NA,"Anguilluloides[ALL] AND nematod*[ALL]",0
"Anguimonhystera","nematode",3,0,0,NA,"Anguimonhystera[ALL] AND nematod*[ALL]",0
"Anguina","nematode",16,0,0,NA,"Anguina[ALL] AND nematod*[ALL]",44
"Angulocirrus","nematode",1,0,0,NA,"Angulocirrus[ALL] AND nematod*[ALL]",0
"Anindobothrium","cestode",4,0,0,NA,"Anindobothrium[ALL] AND cestod*[ALL]",3
"Anisakis","nematode",27,9,2,35,"Anisakis[ALL] AND nematod*[ALL]",751
"Anomolepis","cestode",1,0,0,NA,"Anomolepis[ALL] AND cestod*[ALL]",1
"Anomotaenia","cestode",29,5,0,10,"Anomotaenia[ALL] AND cestod*[ALL]",24
"Anomyctus","nematode",1,0,0,NA,"Anomyctus[ALL] AND nematod*[ALL]",1
"Anonchocephalus","cestode",2,0,0,NA,"Anonchocephalus[ALL] AND cestod*[ALL]",3
"Anonchotaenia","cestode",15,0,0,NA,"Anonchotaenia[ALL] AND cestod*[ALL]",5
"Anoncocephalus","cestode",3,0,0,NA,"Anoncocephalus[ALL] AND cestod*[ALL]",0
"Anophryocephalus","cestode",5,0,0,NA,"Anophryocephalus[ALL] AND cestod*[ALL]",5
"Anophyrocephalus","cestode",1,0,0,NA,"Anophyrocephalus[ALL] AND cestod*[ALL]",0
"Anoplocephala","cestode",5,3,1,13,"Anoplocephala[ALL] AND cestod*[ALL]",124
"Anoplocephaloides","cestode",15,0,0,NA,"Anoplocephaloides[ALL] AND cestod*[ALL]",17
"Anoplostrongylinae","nematode",1,0,0,NA,"Anoplostrongylinae[ALL] AND nematod*[ALL]",4
"Anoplostrongylus","nematode",2,0,0,NA,"Anoplostrongylus[ALL] AND nematod*[ALL]",1
"Anoplotaenia","cestode",1,1,1,1,"Anoplotaenia[ALL] AND cestod*[ALL]",3
"Antarctylus","nematode",1,0,0,NA,"Antarctylus[ALL] AND nematod*[ALL]",1
"Antechiniella","nematode",2,0,0,NA,"Antechiniella[ALL] AND nematod*[ALL]",1
"Antechinostrongylus","nematode",1,0,0,NA,"Antechinostrongylus[ALL] AND nematod*[ALL]",0
"Anteropora","cestode",12,0,0,NA,"Anteropora[ALL] AND cestod*[ALL]",3
"Anthemobothrium","cestode",2,0,0,NA,"Anthemobothrium[ALL] AND cestod*[ALL]",0
"Anthobothrium","cestode",43,2,0,1,"Anthobothrium[ALL] AND cestod*[ALL]",14
"Anthocephalum","cestode",28,0,0,NA,"Anthocephalum[ALL] AND cestod*[ALL]",9
"Anuracanthorhynchus","acanthocephalan",1,0,0,NA,"Anuracanthorhynchus[ALL] AND acanthocephala*[ALL]",1
"Aocobothrium","cestode",1,0,0,NA,"Aocobothrium[ALL] AND cestod*[ALL]",0
"Aonchontheca","nematode",2,0,0,NA,"Aonchontheca[ALL] AND nematod*[ALL]",0
"Aonchotheca","nematode",53,5,0,14,"Aonchotheca[ALL] AND nematod*[ALL]",40
"Aorolaimus","nematode",9,0,0,NA,"Aorolaimus[ALL] AND nematod*[ALL]",3
"Aoruroides","nematode",7,0,0,NA,"Aoruroides[ALL] AND nematod*[ALL]",4
"Aphanimermis","nematode",1,0,0,NA,"Aphanimermis[ALL] AND nematod*[ALL]",0
"Aphasmatylenchus","nematode",4,0,0,NA,"Aphasmatylenchus[ALL] AND nematod*[ALL]",0
"Aphelenchoides","nematode",194,0,0,NA,"Aphelenchoides[ALL] AND nematod*[ALL]",126
"Aphelenchoididae","nematode",1,0,0,NA,"Aphelenchoididae[ALL] AND nematod*[ALL]",51
"Aphelenchulus","nematode",1,0,0,NA,"Aphelenchulus[ALL] AND nematod*[ALL]",0
"Aplectana","nematode",52,2,0,4,"Aplectana[ALL] AND nematod*[ALL]",51
"Aploparaksis","cestode",39,13,0,27,"Aploparaksis[ALL] AND cestod*[ALL]",21
"Apokrimi","cestode",1,0,0,NA,"Apokrimi[ALL] AND cestod*[ALL]",0
"Apoliga","cestode",1,0,0,NA,"Apoliga[ALL] AND cestod*[ALL]",0
"Aporhynchus","cestode",5,1,0,2,"Aporhynchus[ALL] AND cestod*[ALL]",5
"Aporina","cestode",3,0,0,NA,"Aporina[ALL] AND cestod*[ALL]",3
"Apororhynchus","acanthocephalan",7,0,0,NA,"Apororhynchus[ALL] AND acanthocephala*[ALL]",1
"Aprostatandrya","cestode",1,1,0,2,"Aprostatandrya[ALL] AND cestod*[ALL]",2
"Apteragia","nematode",2,0,0,NA,"Apteragia[ALL] AND nematod*[ALL]",7
"Aquaemermis","nematode",3,0,0,NA,"Aquaemermis[ALL] AND nematod*[ALL]",0
"Arachnomermis","nematode",4,0,0,NA,"Arachnomermis[ALL] AND nematod*[ALL]",0
"Aranimermis","nematode",3,0,0,NA,"Aranimermis[ALL] AND nematod*[ALL]",1
"Archeonema","nematode",1,0,0,NA,"Archeonema[ALL] AND nematod*[ALL]",0
"Archeostrongylus","nematode",1,0,0,NA,"Archeostrongylus[ALL] AND nematod*[ALL]",0
"Archigetes","cestode",5,3,0,10,"Archigetes[ALL] AND cestod*[ALL]",12
"Archithelandros","nematode",5,0,0,NA,"Archithelandros[ALL] AND nematod*[ALL]",0
"Arctocestus","cestode",1,0,0,NA,"Arctocestus[ALL] AND cestod*[ALL]",1
"Arctotaenia","cestode",1,0,0,NA,"Arctotaenia[ALL] AND cestod*[ALL]",2
"Ardeirhynchus","acanthocephalan",1,0,0,NA,"Ardeirhynchus[ALL] AND acanthocephala*[ALL]",0
"Arhythmorhynchus","acanthocephalan",26,1,0,3,"Arhythmorhynchus[ALL] AND acanthocephala*[ALL]",11
"Arlenelepis","cestode",2,0,0,NA,"Arlenelepis[ALL] AND cestod*[ALL]",1
"Armadolepis","cestode",3,0,0,NA,"Armadolepis[ALL] AND cestod*[ALL]",3
"Armadoskrjabinia","cestode",5,0,0,NA,"Armadoskrjabinia[ALL] AND cestod*[ALL]",0
"Armocapillaria","nematode",3,0,0,NA,"Armocapillaria[ALL] AND nematod*[ALL]",2
"Arostellina","cestode",1,0,0,NA,"Arostellina[ALL] AND cestod*[ALL]",0
"Arostrilepis","cestode",11,0,0,NA,"Arostrilepis[ALL] AND cestod*[ALL]",13
"Arundelia","nematode",1,0,0,NA,"Arundelia[ALL] AND nematod*[ALL]",0
"Ascaridia","nematode",38,5,5,21,"Ascaridia[ALL] AND nematod*[ALL]",280
"Ascaridiidae","nematode",1,0,0,NA,"Ascaridiidae[ALL] AND nematod*[ALL]",11
"Ascaris","nematode",2,2,2,16,"Ascaris[ALL] AND nematod*[ALL]",1706
"Ascarophis","nematode",45,11,0,16,"Ascarophis[ALL] AND nematod*[ALL]",39
"Ascarops","nematode",9,1,0,10,"Ascarops[ALL] AND nematod*[ALL]",30
"Ascodilepis","cestode",1,0,0,NA,"Ascodilepis[ALL] AND cestod*[ALL]",2
"Ascometra","cestode",5,0,0,NA,"Ascometra[ALL] AND cestod*[ALL]",0
"Ashworthius","nematode",8,0,0,NA,"Ashworthius[ALL] AND nematod*[ALL]",27
"Aspersentis","acanthocephalan",6,1,0,5,"Aspersentis[ALL] AND acanthocephala*[ALL]",5
"Aspicularis","nematode",1,0,0,NA,"Aspicularis[ALL] AND nematod*[ALL]",8
"Aspiculuris","nematode",7,1,1,5,"Aspiculuris[ALL] AND nematod*[ALL]",77
"Aspiculus","nematode",1,0,0,NA,"Aspiculus[ALL] AND nematod*[ALL]",1
"Asymmetracantha","nematode",1,0,0,NA,"Asymmetracantha[ALL] AND nematod*[ALL]",0
"Atactorhynchus","acanthocephalan",2,1,0,1,"Atactorhynchus[ALL] AND acanthocephala*[ALL]",1
"Atalodera","nematode",9,0,0,NA,"Atalodera[ALL] AND nematod*[ALL]",6
"Ataronema","nematode",1,0,0,NA,"Ataronema[ALL] AND nematod*[ALL]",1
"Atractolytocestus","cestode",4,1,0,2,"Atractolytocestus[ALL] AND cestod*[ALL]",20
"Atriotaenia","cestode",3,1,0,1,"Atriotaenia[ALL] AND cestod*[ALL]",12
"Auchenacantha","nematode",2,0,0,NA,"Auchenacantha[ALL] AND nematod*[ALL]",1
"Australicola","cestode",1,0,0,NA,"Australicola[ALL] AND cestod*[ALL]",1
"Australiformis","acanthocephalan",1,0,0,NA,"Australiformis[ALL] AND acanthocephala*[ALL]",1
"Australodorus","nematode",1,0,0,NA,"Australodorus[ALL] AND nematod*[ALL]",0
"Australorhynchus","acanthocephalan",1,0,0,NA,"Australorhynchus[ALL] AND acanthocephala*[ALL]",1
"Australotaenia","cestode",1,0,0,NA,"Australotaenia[ALL] AND cestod*[ALL]",3
"Austramphilina","cestode",1,1,0,2,"Austramphilina[ALL] AND cestod*[ALL]",1
"Austromermis","nematode",1,0,0,NA,"Austromermis[ALL] AND nematod*[ALL]",0
"Austronema","nematode",1,0,0,NA,"Austronema[ALL] AND nematod*[ALL]",0
"Austroxyuris","nematode",1,0,0,NA,"Austroxyuris[ALL] AND nematod*[ALL]",1
"Avesaonchotheca","nematode",8,0,0,NA,"Avesaonchotheca[ALL] AND nematod*[ALL]",0
"Aviculariella","nematode",4,0,0,NA,"Aviculariella[ALL] AND nematod*[ALL]",1
"Avioserpens","nematode",4,3,0,5,"Avioserpens[ALL] AND nematod*[ALL]",5
"Avitellina","cestode",4,3,0,14,"Avitellina[ALL] AND cestod*[ALL]",29
"Baerbonaia","cestode",2,0,0,NA,"Baerbonaia[ALL] AND cestod*[ALL]",0
"Baerfainia","cestode",1,0,0,NA,"Baerfainia[ALL] AND cestod*[ALL]",0
"Baerietta","cestode",3,0,0,NA,"Baerietta[ALL] AND cestod*[ALL]",9
"Baikalomermis","nematode",1,0,0,NA,"Baikalomermis[ALL] AND nematod*[ALL]",0
"Bainechina","nematode",1,0,0,NA,"Bainechina[ALL] AND nematod*[ALL]",1
"Bakererpes","cestode",1,0,0,NA,"Bakererpes[ALL] AND cestod*[ALL]",1
"Bakeria","nematode",1,0,0,NA,"Bakeria[ALL] AND nematod*[ALL]",1
"Balanobothrium","cestode",17,0,0,NA,"Balanobothrium[ALL] AND cestod*[ALL]",0
"Balanotaenia","cestode",2,0,0,NA,"Balanotaenia[ALL] AND cestod*[ALL]",1
"Baldwinema","nematode",3,0,0,NA,"Baldwinema[ALL] AND nematod*[ALL]",0
"Bancroftiella","cestode",3,0,0,NA,"Bancroftiella[ALL] AND cestod*[ALL]",0
