"parasite_group","parasite_class","parasite_order","parasite_family","habitat","host_type_dh","study_effort","n_spp_ott","n_spp_dataset","dataset"
"cestode","Cestoda","Spathebothriidea","Acrobothriidae","mixed","fish",42,6,3,"lcdb"
"cestode","Cestoda","Spathebothriidea","Acrobothriidae","mixed","fish",42,6,1,"rr"
"nematode","Chromadorea","Spirurida","Acuariidae","mixed","bird",215,302,19,"lcdb"
"nematode","Chromadorea","Spirurida","Acuariidae","mixed","bird",215,302,6,"rr"
"cestode","Cestoda","Cyclophyllidea","Amabiliidae","freshwater","bird",10,24,4,"lcdb"
"cestode","Cestoda","Cyclophyllidea","Amabiliidae","freshwater","bird",10,24,0,"rr"
"nematode","Chromadorea","Rhabditida","Amidostomatidae","freshwater","bird",46,18,4,"lcdb"
"nematode","Chromadorea","Rhabditida","Amidostomatidae","freshwater","bird",46,18,0,"rr"
"cestode","Cestoda","Amphilinidea","Amphilinidae","freshwater","mixed",13,9,2,"lcdb"
"cestode","Cestoda","Amphilinidea","Amphilinidae","freshwater","mixed",13,9,0,"rr"
"nematode","Chromadorea","Rhabditida","Ancylostomatidae","terrestrial","mammal",127,2,2,"lcdb"
"nematode","Chromadorea","Rhabditida","Ancylostomatidae","terrestrial","mammal",127,2,1,"rr"
"nematode","Chromadorea","Rhabditida","Angiostrongylidae","terrestrial","mammal",931,26,13,"lcdb"
"nematode","Chromadorea","Rhabditida","Angiostrongylidae","terrestrial","mammal",931,26,4,"rr"
"nematode","Chromadorea","Spirurida","Anguillicolidae","freshwater","fish",109,5,4,"lcdb"
"nematode","Chromadorea","Spirurida","Anguillicolidae","freshwater","fish",109,5,1,"rr"
"nematode","Chromadorea","Ascaridida","Anisakidae","marine","mixed",1324,241,22,"lcdb"
"nematode","Chromadorea","Ascaridida","Anisakidae","marine","mixed",1324,241,3,"rr"
"cestode","Cestoda","Cyclophyllidea","Anoplocephalidae","terrestrial","mammal",724,357,30,"lcdb"
"cestode","Cestoda","Cyclophyllidea","Anoplocephalidae","terrestrial","mammal",724,357,2,"rr"
"cestode","Cestoda","Trypanorhyncha","Aporhynchidae","marine","fish",6,7,1,"lcdb"
"cestode","Cestoda","Trypanorhyncha","Aporhynchidae","marine","fish",6,7,0,"rr"
"nematode","Chromadorea","Ascaridida","Ascarididae","terrestrial","mammal",6480,14,14,"lcdb"
"nematode","Chromadorea","Ascaridida","Ascarididae","terrestrial","mammal",6480,14,4,"rr"
"nematode","Chromadorea","Ascaridida","Ascaridiidae","terrestrial","bird",280,38,5,"lcdb"
"nematode","Chromadorea","Ascaridida","Ascaridiidae","terrestrial","bird",280,38,5,"rr"
"cestode","Cestoda","Bothriocephalidea","Bothriocephalidae","freshwater","fish",202,183,10,"lcdb"
"cestode","Cestoda","Bothriocephalidea","Bothriocephalidae","freshwater","fish",202,183,1,"rr"
"nematode","Chromadorea","Spirurida","Camallanidae","freshwater","fish",282,352,24,"lcdb"
"nematode","Chromadorea","Spirurida","Camallanidae","freshwater","fish",282,352,3,"rr"
"nematode","Enoplea","Trichocephalida","Capillariidae","mixed","mixed",910,373,19,"lcdb"
"nematode","Enoplea","Trichocephalida","Capillariidae","mixed","mixed",910,373,1,"rr"
"cestode","Cestoda","Caryophyllidea","Caryophyllaeidae","freshwater","fish",112,91,14,"lcdb"
"cestode","Cestoda","Caryophyllidea","Caryophyllaeidae","freshwater","fish",112,91,1,"rr"
"cestode","Cestoda","Cyclophyllidea","Catenotaeniidae","terrestrial","mammal",23,33,1,"lcdb"
"cestode","Cestoda","Cyclophyllidea","Catenotaeniidae","terrestrial","mammal",23,33,0,"rr"
"acanthocephalan","Palaeacanthocephala","Echinorhynchida","Cavisomidae","marine","fish",11,21,1,"lcdb"
"acanthocephalan","Palaeacanthocephala","Echinorhynchida","Cavisomidae","marine","fish",11,21,0,"rr"
"acanthocephalan","Palaeacanthocephala","Polymorphida","Centrorhynchidae","terrestrial","bird",68,32,3,"lcdb"
"acanthocephalan","Palaeacanthocephala","Polymorphida","Centrorhynchidae","terrestrial","bird",68,32,1,"rr"
"cestode","Cestoda","Pseudophyllidea","Cephalochlamydidae","freshwater","herptile",4,4,1,"lcdb"
"cestode","Cestoda","Pseudophyllidea","Cephalochlamydidae","freshwater","herptile",4,4,0,"rr"
"nematode","Chromadorea","Rhabditida","Chabertiidae","terrestrial","mammal",188,90,2,"lcdb"
"nematode","Chromadorea","Rhabditida","Chabertiidae","terrestrial","mammal",188,90,1,"rr"
"nematode","Chromadorea","Rhabditida","Cloacinidae","terrestrial","mammal",781,284,9,"lcdb"
"nematode","Chromadorea","Rhabditida","Cloacinidae","terrestrial","mammal",781,284,4,"rr"
"nematode","Chromadorea","Rhabditida","Cooperiidae","terrestrial","mammal",884,36,8,"lcdb"
"nematode","Chromadorea","Rhabditida","Cooperiidae","terrestrial","mammal",884,36,1,"rr"
"nematode","Chromadorea","Ascaridida","Cosmocercidae","terrestrial","herptile",204,187,2,"lcdb"
"nematode","Chromadorea","Ascaridida","Cosmocercidae","terrestrial","herptile",204,187,0,"rr"
"nematode","Chromadorea","Rhabditida","Crenosomatidae","terrestrial","mammal",146,30,6,"lcdb"
"nematode","Chromadorea","Rhabditida","Crenosomatidae","terrestrial","mammal",146,30,2,"rr"
"nematode","Chromadorea","Ascaridida","Cucullanidae","marine","fish",141,226,8,"lcdb"
"nematode","Chromadorea","Ascaridida","Cucullanidae","marine","fish",141,226,1,"rr"
"nematode","Chromadorea","Spirurida","Cystidicolidae","mixed","fish",123,116,19,"lcdb"
"nematode","Chromadorea","Spirurida","Cystidicolidae","mixed","fish",123,116,0,"rr"
"nematode","Enoplea","Trichocephalida","Cystoopsidae","freshwater","fish",3,8,2,"lcdb"
"nematode","Enoplea","Trichocephalida","Cystoopsidae","freshwater","fish",3,8,0,"rr"
"cestode","Cestoda","Cyclophyllidea","Davaineidae","terrestrial","bird",6583,217,15,"lcdb"
"cestode","Cestoda","Cyclophyllidea","Davaineidae","terrestrial","bird",6583,217,2,"rr"
"nematode","Chromadorea","Rhabditida","Dictyocaulidae","terrestrial","mammal",470,23,4,"lcdb"
"nematode","Chromadorea","Rhabditida","Dictyocaulidae","terrestrial","mammal",470,23,2,"rr"
"cestode","Cestoda","Cyclophyllidea","Dilepididae","mixed","bird",201,345,28,"lcdb"
"cestode","Cestoda","Cyclophyllidea","Dilepididae","mixed","bird",201,345,0,"rr"
"nematode","Enoplea","Dioctophymatida","Dioctophymidae","freshwater","bird",160,28,5,"lcdb"
"nematode","Enoplea","Dioctophymatida","Dioctophymidae","freshwater","bird",160,28,3,"rr"
"cestode","Cestoda","Tetraphyllidea","Dioecotaeniidae","marine","fish",3,2,1,"lcdb"
"cestode","Cestoda","Tetraphyllidea","Dioecotaeniidae","marine","fish",3,2,0,"rr"
"cestode","Cestoda","Diphyllobothriidea","Diphyllobothriidae","freshwater","mixed",1531,144,11,"lcdb"
"cestode","Cestoda","Diphyllobothriidea","Diphyllobothriidae","freshwater","mixed",1531,144,7,"rr"
"nematode","Chromadorea","Spirurida","Diplotriaenidae","terrestrial","bird",52,107,9,"lcdb"
"nematode","Chromadorea","Spirurida","Diplotriaenidae","terrestrial","bird",52,107,0,"rr"
"cestode","Cestoda","Cyclophyllidea","Dipylidiidae","terrestrial","mammal",274,22,5,"lcdb"
"cestode","Cestoda","Cyclophyllidea","Dipylidiidae","terrestrial","mammal",274,22,0,"rr"
"nematode","Chromadorea","Spirurida","Dracunculidae","mixed","mixed",279,22,10,"lcdb"
"nematode","Chromadorea","Spirurida","Dracunculidae","mixed","mixed",279,22,2,"rr"
"cestode","Cestoda","Rhinebothriidea","Echeneibothriidae","marine","fish",29,78,1,"lcdb"
"cestode","Cestoda","Rhinebothriidea","Echeneibothriidae","marine","fish",29,78,0,"rr"
"cestode","Cestoda","Diphyllidea","Echinobothriidae","marine","fish",50,80,6,"lcdb"
"cestode","Cestoda","Diphyllidea","Echinobothriidae","marine","fish",50,80,0,"rr"
"acanthocephalan","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","freshwater","fish",261,181,18,"lcdb"
"acanthocephalan","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","freshwater","fish",261,181,1,"rr"
"cestode","Cestoda","Trypanorhyncha","Eutetrarhynchidae","marine","fish",68,148,2,"lcdb"
"cestode","Cestoda","Trypanorhyncha","Eutetrarhynchidae","marine","fish",68,148,0,"rr"
"acanthocephalan","Palaeacanthocephala","Echinorhynchida","Fessisentidae","freshwater","mixed",3,6,3,"lcdb"
"acanthocephalan","Palaeacanthocephala","Echinorhynchida","Fessisentidae","freshwater","mixed",3,6,0,"rr"
"nematode","Chromadorea","Rhabditida","Filaroididae","terrestrial","mammal",91,35,6,"lcdb"
"nematode","Chromadorea","Rhabditida","Filaroididae","terrestrial","mammal",91,35,0,"rr"
"acanthocephalan","Archiacanthocephala","Gigantorhynchida","Giganthorhynchidae","terrestrial","bird",25,60,2,"lcdb"
"acanthocephalan","Archiacanthocephala","Gigantorhynchida","Giganthorhynchidae","terrestrial","bird",25,60,0,"rr"
"nematode","Chromadorea","Spirurida","Gnathostomatidae","mixed","mixed",276,64,14,"lcdb"
"nematode","Chromadorea","Spirurida","Gnathostomatidae","mixed","mixed",276,64,2,"rr"
"nematode","Chromadorea","Spirurida","Gongylonematidae","terrestrial","mammal",500,35,9,"lcdb"
